City,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Mezhova,20,91.0,48.26,36.73,63.83,2.73
Seymchan,0,48.0,62.93,152.39,69.77,8.1
Yaan,80,95.0,7.38,8.57,75.44,11.01
Busselton,92,100.0,-33.64,115.35,62.3,14.47
Punta arenas,75,70.0,-53.16,-70.91,44.6,34.45
La ronge,90,93.0,55.1,-105.3,60.8,9.17
Puerto ayora,90,69.0,-0.74,-90.35,77.0,17.22
Ushuaia,40,60.0,-54.81,-68.31,42.8,18.95
Tupik,0,79.0,54.43,119.94,59.42,3.51
Albany,75,78.0,42.65,-73.75,78.8,9.17
Yelizovo,90,93.0,53.19,158.38,55.4,6.71
Maniitsoq,100,87.0,65.42,-52.9,43.31,7.76
Atuona,20,100.0,-9.8,-139.03,79.85,22.08
Bandundu,8,53.0,-3.32,17.38,74.9,7.65
Myrtle beach,20,74.0,33.7,-78.89,82.4,10.29
Avarua,75,73.0,-21.21,-159.78,77.0,5.82
Hilo,90,69.0,19.71,-155.08,82.4,8.05
Paris,0,44.0,48.86,2.35,77.0,4.7
Mogoytuy,88,96.0,51.28,114.93,62.84,6.64
Yellowknife,75,43.0,62.45,-114.38,69.8,5.82
Sokolo,0,79.0,14.74,-6.12,76.88,6.76
Yulara,90,53.0,-25.24,130.99,51.8,6.93
Bluff,0,71.0,-23.58,149.07,64.73,4.63
Faanui,36,98.0,-16.48,-151.75,80.57,12.91
Miguel hidalgo,75,18.0,19.41,-99.19,87.8,1.39
Seybaplaya,5,70.0,19.65,-90.67,87.8,11.41
Dudinka,0,52.0,69.41,86.18,48.35,14.81
Provideniya,90,93.0,64.42,-173.23,51.8,6.71
Butaritari,32,100.0,3.07,172.79,83.09,6.76
Arraial do cabo,44,96.0,-22.97,-42.02,70.85,14.25
Geraldton,75,45.0,49.72,-86.95,82.4,5.82
Kroya,12,82.0,-6.5,108.06,71.93,3.62
Tuktoyaktuk,20,77.0,69.44,-133.03,66.2,11.41
Mataura,20,93.0,-46.19,168.86,44.48,7.99
Norsup,100,100.0,-16.07,167.38,71.75,7.87
Rikitea,92,100.0,-23.12,-134.97,74.18,17.27
Denpasar,40,78.0,-8.65,115.22,77.0,6.93
Lebu,75,93.0,8.96,38.73,57.2,3.18
San cristobal,75,55.0,-0.39,-78.55,62.6,17.22
Hermanus,20,49.0,-34.42,19.24,64.1,5.53
Ankpa,80,96.0,7.37,7.63,74.45,9.44
East london,32,89.0,-33.02,27.91,71.57,12.46
Riachao das neves,0,50.0,-11.75,-44.91,65.72,6.08
Nikolskoye,88,88.0,59.7,30.79,69.8,2.24
Havoysund,20,87.0,71.0,24.66,50.0,2.24
Omsukchan,12,52.0,62.53,155.8,63.92,5.19
Vaini,92,98.0,15.34,74.49,70.58,6.98
Tasiilaq,0,95.0,65.61,-37.64,48.2,10.29
Port hueneme,40,61.0,34.15,-119.2,104.0,12.75
Pisco,90,82.0,-13.71,-76.2,64.4,11.41
Mangrol,92,99.0,25.33,76.51,74.0,7.99
Mahebourg,75,60.0,-20.41,57.7,71.6,19.46
Gisborne,56,66.0,-38.66,178.02,52.94,4.63
Minudasht,44,81.0,37.23,55.37,77.78,4.41
Klaksvik,92,93.0,62.23,-6.59,50.0,12.75
Kaeo,44,84.0,-35.1,173.78,54.74,4.63
Chapais,40,83.0,49.78,-74.86,73.4,5.82
Ubinskoye,92,98.0,55.31,79.68,58.52,25.88
Beni suef,0,47.0,29.07,31.1,77.42,5.97
Langsa,20,94.0,4.47,97.97,71.48,2.39
Ahuimanu,20,70.0,21.44,-157.84,86.0,10.29
Akureyri,90,87.0,65.68,-18.09,48.2,5.82
Krasnoturansk,0,93.0,54.32,91.57,64.4,2.24
Maputo,0,87.0,-25.97,32.57,57.2,2.24
Nerchinskiy zavod,92,70.0,51.31,119.61,63.47,2.95
Port elizabeth,90,78.0,39.31,-74.98,80.6,10.29
Esperance,75,83.0,10.24,-61.45,80.6,3.36
Aden,32,85.0,12.79,45.03,82.37,12.68
Kapaa,75,88.0,22.08,-159.32,84.2,10.29
Ponta do sol,0,64.0,-20.63,-46.0,59.15,4.85
Pochutla,75,70.0,15.74,-96.47,87.8,6.93
Aksu,75,100.0,52.04,76.93,48.2,4.47
Souillac,0,73.0,45.6,-0.6,71.6,3.36
Oranjestad,20,74.0,12.52,-70.03,82.4,21.92
Jamestown,0,62.0,-33.21,138.6,53.57,14.81
Kavieng,12,100.0,-2.57,150.8,82.73,7.2
Tuatapere,8,100.0,-46.13,167.69,42.68,11.68
Dingle,12,87.0,11.0,122.67,82.01,8.99
Hobart,20,57.0,-42.88,147.33,51.8,8.05
Kumta,92,100.0,14.42,74.4,73.82,7.43
Port alfred,20,56.0,-33.59,26.89,70.94,11.68
Saldanha,0,79.0,41.42,-6.55,62.39,3.96
Vilhena,0,44.0,-12.74,-60.15,78.8,9.17
Polovinnoye,32,85.0,54.79,65.99,60.23,14.25
Sinazongwe,0,71.0,-17.26,27.46,63.02,11.23
Marienburg,0,64.0,52.12,9.98,68.0,3.36
Bredasdorp,24,87.0,-34.53,20.04,46.4,1.12
Gat,76,74.0,14.69,-16.54,84.2,6.93
Thompson,75,100.0,55.74,-97.86,62.6,5.82
Juneau,20,44.0,58.3,-134.42,77.0,9.17
Tashtyp,100,93.0,52.8,89.89,62.12,5.86
Kedougou,92,87.0,12.56,-12.19,75.98,7.87
Pacatuba,100,98.0,-10.45,-36.65,72.02,11.45
Dikson,100,89.0,73.51,80.55,47.63,21.07
Bambous virieux,75,60.0,-20.34,57.76,71.6,19.46
Zahir pir,20,67.0,28.81,70.52,87.77,2.62
Kavaratti,92,96.0,10.57,72.64,82.64,24.76
Khatanga,0,76.0,71.98,102.47,45.38,3.96
Sur,64,83.0,22.57,59.53,88.4,7.99
Mastic beach,1,88.0,40.77,-72.85,78.8,13.87
Ribeira grande,44,100.0,38.52,-28.7,71.3,16.04
Kapelle,0,88.0,51.49,3.96,75.2,11.41
Ewa beach,40,70.0,21.32,-158.01,86.0,10.29
Plainfield,90,78.0,39.7,-86.4,75.2,5.82
Katangli,64,95.0,51.71,143.23,51.77,5.19
Key largo,20,88.0,25.09,-80.45,80.6,5.82
Conde,12,92.0,-11.81,-37.61,74.0,12.35
Itarema,0,63.0,-2.92,-39.92,81.02,14.92
San patricio,92,80.0,-26.98,-56.83,54.65,8.1
Poum,80,100.0,41.28,20.71,54.92,1.95
Georgetown,20,78.0,6.8,-58.16,82.4,13.87
Hami,24,39.0,42.84,93.51,74.18,6.64
Mar del plata,0,58.0,-46.43,-67.52,47.63,14.7
Vila velha,0,78.0,-3.71,-38.6,78.8,10.29
Waddan,0,26.0,29.16,16.14,74.45,1.28
Belyy yar,0,93.0,53.6,91.39,64.4,2.24
Hithadhoo,92,100.0,-0.6,73.08,77.69,9.22
Kaitangata,56,90.0,-46.28,169.85,44.39,8.77
Wagar,20,70.0,31.44,-87.99,83.81,3.62
Pevek,56,60.0,69.7,170.27,60.32,20.51
Lorengau,80,100.0,-2.02,147.27,82.55,4.29
Miracema,36,87.0,-21.41,-42.2,66.35,6.98
Zabid,56,88.0,14.2,44.5,50.6,0.6
Mandalgovi,92,91.0,45.76,106.27,59.96,7.76
Khash,0,32.0,28.22,61.21,82.1,9.66
Belomorsk,24,74.0,64.52,34.76,67.07,5.97
Sao filipe,68,96.0,14.9,-24.5,76.97,6.64
Wakkanai,64,100.0,45.41,141.67,61.31,3.62
Nara,75,74.0,34.68,135.8,86.0,5.82
Mbekenyera,32,73.0,-10.0,38.98,65.63,5.41
Am timan,68,83.0,11.04,20.28,77.96,11.68
Barrow,0,77.0,-38.31,-60.23,29.9,2.84
Victoria,75,100.0,5.28,115.24,80.6,4.41
Katsuura,75,88.0,33.93,134.5,82.4,6.93
Alice springs,90,33.0,-23.7,133.88,59.0,6.2
Ponta delgada,40,88.0,37.73,-25.67,69.8,5.82
Sabang,88,94.0,13.72,123.58,81.38,8.77
Clyde river,75,86.0,70.47,-68.59,37.4,40.26
Shush,92,94.0,55.6,89.45,58.25,8.77
Vila,0,78.0,45.18,8.4,73.4,5.82
Morogoro,80,62.0,-6.82,37.67,69.59,4.52
Marsh harbour,24,98.0,26.54,-77.06,84.53,14.25
Honefoss,0,84.0,60.17,10.26,62.66,2.06
Acapulco,75,79.0,16.86,-99.88,86.0,8.05
Bethel,75,59.0,60.79,-161.76,66.2,9.17
Kupang,20,68.0,-10.16,123.6,71.6,8.05
Xining,0,83.0,36.62,101.77,50.42,2.39
Ulety,0,81.0,51.36,112.48,63.02,3.85
Rio grande,90,81.0,-32.03,-52.1,51.8,11.41
Ulladulla,0,46.0,-35.36,150.48,53.6,5.82
Kargopol,0,69.0,61.51,38.95,62.57,5.97
Qaanaaq,24,100.0,77.48,-69.36,35.03,3.4
Sitka,32,41.0,37.17,-99.65,92.36,8.55
Sao joao dos patos,0,45.0,-6.5,-43.7,81.83,5.75
Warangal,0,74.0,17.99,79.6,77.87,8.99
Taltal,44,91.0,-25.41,-70.49,52.58,0.6
Mubi,20,97.0,10.27,13.26,67.43,2.73
Bandarbeyla,32,79.0,9.49,50.81,76.43,31.03
Nizhnevartovsk,0,82.0,60.93,76.58,60.8,6.71
Lerwick,88,87.0,60.15,-1.15,53.6,10.29
Saint-philippe,90,78.0,45.36,-73.48,80.6,13.87
Vardo,20,83.0,39.62,-77.74,82.4,3.36
Tucumcari,1,24.0,35.17,-103.73,93.2,14.99
Bereda,40,88.0,43.27,-7.54,66.2,1.12
Moba,0,94.0,-7.04,29.77,61.13,11.01
Huanren,20,83.0,41.26,125.37,80.3,2.95
Camargo,0,12.0,27.69,-105.17,100.46,9.66
North bend,1,82.0,43.41,-124.22,60.8,20.8
Yokadouma,92,98.0,3.52,15.05,67.7,3.06
Bismarck,1,30.0,46.81,-100.78,82.4,10.29
Kot khai,64,98.0,31.12,77.53,62.48,0.94
Buala,92,87.0,-8.15,159.59,82.82,6.64
Palmer,75,56.0,61.6,-149.11,69.8,5.82
Ambunti,32,93.0,-4.22,142.82,78.68,2.73
Kota belud,75,73.0,6.35,116.43,77.0,4.7
Beloha,0,74.0,-25.17,45.06,60.86,9.89
Norman wells,20,36.0,65.28,-126.83,80.6,11.41
Oda,0,74.0,35.19,132.5,82.4,4.7
Cabo san lucas,5,41.0,22.89,-109.91,98.6,9.17
Vangaindrano,88,94.0,-23.35,47.6,61.49,5.64
Barcelona,20,88.0,41.38,2.18,77.0,6.93
Semnan,0,32.0,35.58,53.39,83.45,15.37
Lagoa,0,64.0,37.14,-8.45,68.0,9.17
Igarka,8,58.0,67.47,86.57,50.06,13.24
Meiganga,88,99.0,6.52,14.29,66.08,2.95
Ifakara,92,71.0,-8.13,36.68,66.26,2.17
Saint-georges,80,77.0,46.12,-70.67,74.36,4.97
Arlit,0,20.0,18.74,7.39,75.44,2.62
Fare,44,96.0,-16.7,-151.02,80.39,11.12
Nyandoma,0,70.0,61.67,40.21,58.61,3.96
Nanortalik,0,95.0,60.14,-45.24,39.8,3.74
Byron bay,0,55.0,-28.65,153.62,66.2,10.29
Cape town,0,87.0,-33.93,18.42,55.4,6.93
Kentau,0,58.0,43.52,68.5,50.69,4.41
Castro,0,100.0,-42.48,-73.76,38.0,3.4
Mnogovershinnyy,36,79.0,53.94,139.92,64.73,2.39
Alofi,68,74.0,-19.06,-169.92,78.8,6.93
Vuktyl,0,74.0,63.86,57.31,60.32,2.95
Marondera,0,86.0,-18.19,31.55,42.77,6.76
Olenino,8,87.0,56.21,33.48,58.43,9.1
Heze,12,81.0,35.25,115.45,83.36,4.97
Ayan,12,93.0,40.67,33.6,52.4,1.72
Kota kinabalu,75,73.0,5.98,116.07,77.0,4.7
Margate,20,57.0,-43.03,147.26,51.8,8.05
Namibe,0,98.0,-15.19,12.15,66.98,12.46
Fortuna,0,83.0,38.18,-1.13,73.4,3.36
Caravelas,8,100.0,-17.73,-39.27,75.71,15.03
Jalu,0,35.0,29.03,21.55,78.86,2.62
Husavik,36,73.0,50.56,-96.99,70.94,13.8
Leshukonskoye,0,58.0,64.9,45.76,62.3,5.75
Chokurdakh,80,85.0,70.62,147.9,45.2,17.72
Ancud,0,87.0,-41.87,-73.83,36.83,4.63
Kijang,0,79.0,35.24,129.21,84.2,3.18
Hagere hiywet,92,98.0,8.98,37.85,53.48,2.84
Coquimbo,0,81.0,-29.95,-71.34,51.8,10.29
Cherskiy,76,36.0,68.75,161.3,71.21,10.0
Batagay,20,91.0,67.65,134.64,55.55,6.53
Moose factory,75,72.0,51.26,-80.61,68.0,5.82
Bloomfield,20,58.0,40.75,-92.42,86.0,10.29
Cap malheureux,75,60.0,-19.98,57.61,71.6,19.46
Hun,0,56.0,50.34,4.87,75.2,3.36
Isla vista,1,54.0,34.41,-119.86,80.6,9.17
Wanning,40,77.0,48.64,13.53,64.4,10.29
Kaduqli,20,96.0,11.01,29.72,66.26,2.73
Torbay,90,100.0,47.66,-52.73,66.2,17.22
Ilulissat,75,66.0,69.22,-51.1,50.0,17.22
Smithers,75,35.0,54.78,-127.17,73.4,2.39
Slobozia-mandra,64,100.0,43.92,24.7,64.73,4.18
Kilindoni,44,92.0,-7.91,39.67,77.33,21.07
Saint-pierre,0,64.0,48.95,4.24,69.8,3.36
Fukuma,40,79.0,33.77,130.47,84.2,3.36
Okhotsk,64,86.0,59.36,143.24,59.78,3.06
Barcelos,75,88.0,41.53,-8.62,66.2,8.05
Plettenberg bay,0,70.0,-34.05,23.37,72.47,16.71
Cidreira,100,100.0,-30.17,-50.22,52.67,8.66
Hasaki,75,94.0,35.73,140.83,78.8,5.82
Aranos,0,62.0,-24.14,19.11,48.35,9.78
Issoudun,0,72.0,46.95,1.99,69.8,1.12
San ignacio,0,71.0,-36.8,-72.03,50.0,8.05
Alekseyevsk,0,80.0,57.84,108.35,53.57,3.51
Hamilton,75,78.0,32.3,-64.78,80.6,12.75
Sisimiut,80,70.0,66.94,-53.67,45.29,7.43
Khandyga,92,95.0,62.65,135.58,55.28,2.39
New norfolk,20,57.0,-42.78,147.06,51.8,8.05
Broken hill,0,60.0,-31.97,141.45,55.19,9.78
Kaifeng,0,78.0,34.8,114.35,80.6,4.52
Sept-iles,90,82.0,50.2,-66.38,68.0,2.24
Radviliskis,24,77.0,55.82,23.53,62.6,9.17
Misratah,36,86.0,32.38,15.09,80.03,12.01
Gorbatovka,75,87.0,56.26,43.74,59.0,6.71
Saint-joseph,0,83.0,43.56,6.97,75.2,3.36
Filingue,48,81.0,14.35,3.32,79.13,2.95
Yendi,76,74.0,9.45,0.0,80.84,5.19
Kruisfontein,8,48.0,-34.0,24.73,69.5,11.9
Nuuk,90,100.0,64.17,-51.74,41.0,11.41
Airai,0,53.0,-8.93,125.41,69.41,2.39
Tucuman,8,83.0,-17.17,-70.89,56.99,1.83
Rayadrug,80,92.0,14.7,76.87,71.48,10.67
Saskylakh,56,78.0,71.97,114.09,36.65,6.64
Jacareacanga,0,80.0,-6.22,-57.76,78.59,2.06
Tiksi,80,79.0,71.64,128.87,42.86,10.45
Maunabo,40,74.0,18.01,-65.9,82.4,9.17
Tarsus,40,88.0,36.92,34.88,80.6,4.7
Pacific grove,1,72.0,36.62,-121.92,84.2,10.29
Dong xoai,92,92.0,11.53,106.92,77.24,5.86
