City,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Inhambane,92,92.0,-23.87,35.38,68.24,10.67
Kununurra,0,48.0,-15.77,128.74,62.6,3.36
Griffith,0,92.0,-34.29,146.06,51.05,8.77
Santa maria del oro,12,20.0,25.95,-105.37,86.42,8.99
Zaraza,92,59.0,9.35,-65.33,85.52,5.3
Cerrito,40,100.0,6.84,-72.7,69.8,8.05
Chateaubelair,20,83.0,13.28,-61.25,82.4,20.8
Sipe sipe,20,39.0,-17.45,-66.36,64.4,14.99
Bosaso,20,82.0,11.28,49.18,89.3,16.37
Quang ngai,92,75.0,15.12,108.8,79.85,0.72
Wad rawah,88,68.0,15.16,33.13,80.48,10.45
Middelburg,0,63.0,-25.77,29.46,28.73,3.4
Banjar,92,97.0,-7.37,108.54,70.13,3.06
Hay river,40,51.0,60.82,-115.79,60.8,8.05
Arona,0,78.0,45.76,8.56,77.0,5.82
Camalu,0,44.0,30.85,-116.07,86.78,6.87
Vaitape,48,95.0,-16.52,-151.75,80.93,11.68
Taiyuan,8,78.0,37.86,112.56,73.4,2.24
Nizhniy kuranakh,80,89.0,58.84,125.49,53.75,3.4
Bhadasar,20,94.0,28.3,74.31,79.85,3.62
Nizwa,76,46.0,22.93,57.53,82.55,4.63
Marawi,56,93.0,8.0,124.29,73.28,3.29
Kangaatsiaq,92,86.0,68.31,-53.46,43.31,15.26
Arrifes,40,88.0,37.77,-25.7,69.8,5.82
Road town,20,69.0,18.42,-64.62,84.2,8.05
Ternate,90,100.0,14.29,120.72,78.8,3.36
Manokwari,76,100.0,-0.87,134.08,81.11,5.41
Chuy,20,83.0,-33.69,-53.46,47.54,15.59
Pringsewu,24,92.0,-5.36,104.98,72.02,2.17
Fairbanks,1,26.0,64.84,-147.72,82.4,3.36
Mehamn,75,76.0,71.03,27.85,55.4,13.87
Kholodnyy,0,40.0,62.72,147.95,66.35,6.2
Chalmette,75,63.0,29.94,-89.96,93.2,6.93
Angoche,20,97.0,-16.23,39.91,77.78,13.02
Upernavik,80,92.0,72.79,-56.15,40.07,11.9
Merville,0,68.0,43.72,1.3,69.8,4.7
Lasem,0,83.0,-6.99,112.52,79.4,6.2
Gazojak,0,29.0,41.19,61.4,76.25,13.8
Motygino,36,71.0,58.18,94.69,54.92,4.18
Illapel,0,100.0,-31.63,-71.17,38.9,2.95
Vila franca do campo,40,88.0,37.72,-25.43,69.8,5.82
Kodiak,1,45.0,39.95,-94.76,86.0,11.41
Buloh kasap,75,100.0,2.55,102.76,75.2,2.73
Qaqortoq,75,47.0,60.72,-46.03,55.4,5.82
Tera,0,64.0,34.97,32.42,78.8,4.7
Labuhan,88,88.0,-2.54,115.51,75.35,3.18
Bisira,92,90.0,8.52,-81.71,73.19,1.61
Constitucion,75,15.0,23.99,-104.67,87.8,4.7
Regina,20,33.0,50.45,-104.62,75.2,25.28
Carnarvon,8,56.0,-30.97,22.13,48.44,11.34
Wahiawa,75,62.0,21.5,-158.02,86.0,9.17
Sistranda,75,72.0,63.73,8.83,62.6,10.29
Birao,92,96.0,10.3,22.78,72.11,7.99
Atar,20,22.0,20.52,-13.05,88.4,4.29
Padang,80,100.0,-0.92,100.36,79.85,1.05
Ampanihy,0,86.0,-24.69,44.75,56.45,8.77
Antofagasta,90,71.0,-23.65,-70.4,57.2,8.05
Saint-ambroise,0,82.0,47.25,-0.65,64.4,5.3
Guaimaro,75,83.0,10.58,-74.71,80.6,9.17
Grand gaube,75,60.0,-20.01,57.66,71.6,19.46
Indramayu,8,96.0,-4.05,103.78,68.87,0.83
Saint george,75,60.0,39.45,22.34,71.6,6.93
Ozernovskiy,24,89.0,51.5,156.52,60.23,8.99
Ridgecrest,40,12.0,35.62,-117.67,107.6,6.93
Merauke,0,77.0,-8.49,140.4,80.57,15.7
Villarrobledo,0,39.0,39.27,-2.6,67.88,8.32
Teahupoo,20,62.0,-17.83,-149.27,84.2,4.7
Tazovskiy,8,37.0,67.47,78.7,54.47,6.08
Augusto correa,68,84.0,-1.02,-46.63,78.23,6.87
Llanes,8,83.0,43.42,-4.75,57.08,1.28
Maragogi,92,98.0,-9.01,-35.22,72.56,8.32
Chicama,0,84.0,-7.84,-79.15,67.07,4.18
Visby,36,87.0,57.64,18.3,60.8,3.36
Tsabong,20,53.0,-26.02,22.4,47.45,8.43
Whakatane,56,100.0,-37.96,176.99,53.21,4.41
Vetluzhskiy,80,63.0,58.39,45.47,61.85,4.07
Talnakh,0,68.0,69.49,88.39,45.47,10.67
Tulancingo,12,36.0,20.08,-98.36,71.12,6.42
Elliot lake,75,69.0,46.37,-82.65,78.8,8.05
Kautokeino,0,84.0,69.01,23.04,50.42,2.17
Zhigansk,44,57.0,66.77,123.37,56.27,7.99
Umm lajj,0,100.0,25.02,37.27,76.79,4.74
Posse,0,44.0,-14.08,-46.36,66.53,9.22
Daru,88,93.0,7.99,-10.85,73.28,6.2
Narasannapeta,92,92.0,18.42,84.04,76.88,3.62
Tabory,0,89.0,53.89,19.53,57.71,2.73
The valley,20,78.0,18.22,-63.06,82.4,12.75
Stonewall,40,56.0,50.13,-97.33,71.6,14.99
Port-gentil,40,94.0,-0.72,8.78,73.4,10.29
Longyearbyen,75,70.0,78.22,15.63,48.2,9.17
Marzuq,48,67.0,14.4,46.47,68.24,5.08
Touros,44,87.0,-5.2,-35.46,75.71,16.04
Saint-francois,0,82.0,46.42,3.91,62.6,2.62
Esqueda,12,24.0,30.72,-109.59,96.32,2.95
Luderitz,8,76.0,-26.65,15.16,55.73,5.3
Severo-kurilsk,88,96.0,50.68,156.12,52.94,9.44
Faya,0,72.0,18.39,42.45,66.2,4.7
Narsaq,75,47.0,60.91,-46.05,55.4,5.82
Nelson bay,0,54.0,-32.72,152.14,55.4,6.93
Hope,1,35.0,49.38,-121.43,87.8,8.05
Abalak,32,57.0,15.46,6.28,82.19,9.22
Tumpat,75,88.0,6.2,102.17,77.0,3.36
Goderich,56,83.0,43.74,-81.71,73.91,5.97
Berlevag,75,76.0,70.86,29.09,55.4,13.87
Tulum,20,70.0,20.21,-87.46,87.8,6.93
Sai buri,8,93.0,6.7,101.62,75.44,2.95
Buin,0,40.0,-33.73,-70.74,59.0,3.36
Lipin bor,0,97.0,60.26,37.97,62.3,7.54
Marion,20,58.0,35.21,-90.2,84.2,14.99
Diu,92,96.0,20.71,70.98,76.97,11.12
Lethem,0,89.0,3.38,-59.8,76.7,3.06
Oranjemund,0,96.0,-28.55,16.43,59.33,8.43
Ambon,0,73.0,47.55,-2.56,69.8,5.82
Carutapera,76,89.0,-1.2,-46.02,78.95,9.22
Ventspils,48,100.0,57.39,21.56,55.4,1.12
Bunol,0,74.0,39.42,-0.78,78.8,8.05
Laguna,5,33.0,27.52,-110.01,102.2,12.75
Herzberg,0,85.0,51.66,10.34,59.87,2.51
Axim,64,97.0,4.87,-2.24,77.96,11.68
San andres,32,99.0,13.32,122.68,83.9,8.99
Saurimo,0,45.0,-9.66,20.4,58.7,6.53
Danjiangkou,0,84.0,32.54,111.51,83.0,2.17
Turukhansk,0,63.0,65.8,87.96,51.23,11.34
Priiskovyy,20,82.0,51.93,116.63,67.25,4.07
Cairns,40,73.0,-16.92,145.77,73.4,9.17
Puerto carreno,75,100.0,6.19,-67.49,75.2,2.39
Nicoya,75,62.0,10.15,-85.45,86.0,10.29
Koronowo,0,77.0,53.31,17.94,64.4,3.36
Yerbogachen,0,72.0,61.28,108.01,54.47,4.29
Columbia,1,48.0,38.95,-92.33,86.0,4.7
Csurgo,0,77.0,46.25,17.1,66.35,11.45
Nago,0,82.0,45.88,10.89,73.4,3.36
Suluq,0,16.0,31.67,20.25,87.8,17.22
Kadaya,88,80.0,50.93,119.29,66.53,3.96
Cockburn town,8,98.0,21.46,-71.14,82.37,19.84
Krasnogorsk,75,82.0,55.82,37.34,64.4,8.95
Deep river,20,94.0,46.1,-77.49,75.2,6.93
Khasan,32,81.0,42.43,130.64,76.97,2.28
Tromso,90,67.0,69.65,18.96,57.2,21.92
North platte,1,44.0,41.12,-100.77,80.6,6.93
Raudeberg,92,93.0,61.99,5.14,60.8,14.99
Kulhudhuffushi,68,100.0,6.62,73.07,81.56,21.52
Goya,0,80.0,-29.14,-59.27,44.3,14.7
Anadyr,75,87.0,64.73,177.51,53.6,15.66
Ouegoa,0,69.0,-20.34,164.44,73.19,5.86
Lavrentiya,64,92.0,65.58,-170.99,45.92,4.85
Leningradskiy,36,58.0,69.38,178.42,54.65,8.43
Progreso,40,81.0,-34.68,-56.22,46.4,10.0
Fethiye,0,78.0,36.62,29.12,73.4,4.7
Ust-tsilma,0,61.0,65.44,52.15,61.76,5.3
Manadhoo,76,100.0,5.77,73.38,80.75,21.52
Salon,92,97.0,26.03,81.45,78.14,10.45
Darhan,0,78.0,49.49,105.92,66.89,4.18
Getulio vargas,20,81.0,-32.68,-53.55,45.02,12.57
Ust-barguzin,8,71.0,53.41,109.03,63.29,2.39
Innisfail,90,67.0,52.02,-113.95,62.6,5.82
Salalah,75,88.0,17.01,54.1,78.8,4.7
Xiaoweizhai,88,88.0,26.23,107.51,71.93,3.4
Dunedin,92,100.0,-45.87,170.5,40.88,3.96
Sao joao da barra,0,88.0,-21.64,-41.05,71.6,5.82
Kuryk,92,65.0,43.18,51.68,81.74,11.79
Clinton,40,65.0,41.84,-90.19,82.4,8.05
Athabasca,0,62.0,54.72,-113.29,64.91,11.68
Tokur,80,93.0,53.13,132.9,63.74,2.28
Aykhal,64,59.0,65.95,111.51,54.92,3.96
Thaton,92,100.0,16.91,97.37,76.07,6.42
Port lincoln,44,79.0,-34.72,135.86,62.3,28.79
Winneba,80,94.0,5.35,-0.62,77.0,12.75
San pedro,0,94.0,-33.68,-59.66,35.75,7.31
Concordia,0,98.0,-31.4,-58.02,40.7,11.9
Nemuro,56,100.0,43.32,145.57,59.06,1.95
Awjilah,0,30.0,29.14,21.3,77.78,2.73
Eha amufu,40,94.0,6.65,7.77,78.8,8.1
San jose,100,100.0,15.79,120.99,73.37,1.72
Manggar,80,81.0,-2.88,108.27,82.73,11.01
Rawson,0,82.0,-43.3,-65.11,34.85,3.74
Los llanos de aridane,12,73.0,28.66,-17.92,71.6,12.75
Aksarka,0,58.0,66.56,67.8,67.43,4.52
Guadalupe y calvo,56,65.0,26.09,-106.96,69.23,0.72
Novouzensk,92,66.0,50.46,48.14,68.06,11.79
Aklavik,20,54.0,68.22,-135.01,86.0,10.29
Mabaruma,56,89.0,8.2,-59.78,79.76,7.65
Balakhta,92,85.0,55.38,91.62,63.47,8.88
La fria,75,51.0,8.22,-72.25,84.2,13.87
Ossora,76,96.0,59.24,163.07,55.37,12.57
Lexington,90,69.0,38.05,-84.5,75.2,8.05
Antalaha,92,100.0,-14.9,50.28,67.88,13.8
Ahipara,44,99.0,-35.17,173.16,53.39,3.96
Araouane,36,24.0,18.9,-3.53,92.0,4.18
Lamin,75,88.0,13.35,-16.43,78.8,5.82
Ljubinje,40,50.0,42.95,18.09,77.0,18.34
Quatre cocos,75,60.0,-20.21,57.76,71.6,19.46
Savannah bight,0,95.0,16.45,-85.85,83.45,15.82
Lata,76,100.0,30.78,78.62,60.32,1.05
Kiama,0,46.0,-34.67,150.86,53.6,5.82
San joaquin,12,87.0,10.59,122.14,82.01,8.99
Brae,80,87.0,60.4,-1.35,53.6,10.29
Fort nelson,75,33.0,58.81,-122.69,71.6,3.36
Kailua,20,70.0,21.39,-157.74,86.0,10.29
Kahului,40,55.0,20.89,-156.47,91.4,16.11
Zyryanka,36,56.0,65.73,150.89,69.05,2.95
Paita,8,68.0,-5.09,-81.11,74.18,7.54
Inta,0,63.0,66.04,60.13,65.54,5.19
Nyurba,80,79.0,63.29,118.35,56.81,2.73
Boa vista,75,83.0,2.82,-60.67,78.8,3.36
Zhezkazgan,0,75.0,47.8,67.71,55.37,11.79
Osimo,20,47.0,43.49,13.48,78.8,12.75
Sergeyevka,12,91.0,53.88,67.42,55.37,12.46
San lazaro,20,70.0,18.04,-88.66,89.6,4.7
Luza,0,78.0,60.63,47.26,55.73,5.19
Henties bay,0,79.0,-22.12,14.28,60.95,0.83
Zhangye,0,62.0,38.94,100.46,65.0,7.76
Inongo,64,44.0,-1.93,18.29,81.38,5.3
Erdenet,0,81.0,49.03,104.04,63.83,3.62
Luganville,100,100.0,-15.51,167.18,74.0,11.34
Tigil,0,52.0,57.8,158.67,76.16,3.18
Pedasi,92,100.0,7.53,-80.03,79.22,2.62
Dalbandin,24,25.0,28.9,64.41,76.61,2.62
Kungurtug,12,82.0,50.6,97.53,53.57,2.51
Hastings,64,95.0,-39.64,176.84,51.95,6.53
Thinadhoo,92,100.0,0.53,72.93,78.68,21.52
Olinda,40,65.0,-2.03,-79.75,78.8,4.7
Portoviejo,75,83.0,-1.05,-80.45,75.2,10.29
Conceicao do araguaia,0,48.0,-8.26,-49.26,78.5,4.74
Samarai,76,98.0,-10.62,150.67,78.5,16.71
Kinablangan,20,96.0,7.69,126.55,85.25,6.08
Saint-augustin,0,78.0,44.83,-0.61,71.6,3.36
Kamaishi,75,88.0,39.28,141.86,71.6,3.36
Jesus maria,0,95.0,-20.49,-69.32,58.97,2.73
Taoudenni,0,18.0,22.68,-3.98,81.74,3.96
Whitianga,48,100.0,-36.83,175.7,54.83,4.41
Kloulklubed,90,94.0,7.04,134.26,78.8,5.82
Sibu,75,83.0,2.29,111.83,78.8,4.7
Mount gambier,92,98.0,-37.83,140.78,52.94,14.14
Graaff-reinet,36,48.0,-32.25,24.53,52.85,7.31
Darab,36,44.0,28.75,54.55,66.53,1.72
Bandipur,32,91.0,11.67,76.63,65.81,2.17
Mount isa,0,26.0,-20.73,139.49,55.4,4.63
Cayenne,90,100.0,4.94,-52.33,77.0,8.43
Malinovskiy,92,92.0,54.15,34.53,64.73,11.01
Hervey bay,0,88.0,-25.3,152.85,67.07,2.73
Salta,90,30.0,-24.79,-65.41,51.8,5.82
Kichera,36,65.0,55.93,110.1,57.17,2.51
San quintin,75,100.0,17.54,120.52,77.0,4.7
Ocara,0,69.0,-4.49,-38.6,79.4,13.47
Halifax,90,100.0,44.65,-63.58,75.2,6.93
Kendari,80,99.0,-3.99,122.52,72.47,2.39
Srednekolymsk,68,70.0,67.46,153.71,67.25,3.29
Den helder,0,83.0,52.96,4.76,69.8,6.93
Forestville,75,78.0,48.74,-69.09,75.2,2.24
Riyadh,0,13.0,24.63,46.72,91.4,6.93
Zhangjiakou,12,90.0,40.77,114.88,70.58,4.07
Niono,0,89.0,14.25,-5.99,73.82,4.97
Hailar,92,96.0,49.2,119.7,61.4,7.31
Pudozh,44,68.0,61.81,36.54,67.88,8.32
Puerto escondido,75,70.0,15.86,-97.07,86.0,4.74
Harper,1,13.0,30.3,-99.24,109.4,3.36
Umm kaddadah,8,68.0,13.6,26.69,78.5,12.24
Mizdah,80,23.0,31.45,12.98,89.39,11.45
High level,75,52.0,58.52,-117.13,66.2,8.05
Maceio,75,83.0,-9.67,-35.74,75.2,5.82
Sarahan,68,100.0,31.51,77.79,38.54,1.39
Huangmei,0,92.0,30.1,115.95,85.34,3.74
Masvingo,88,98.0,-20.08,30.83,52.67,8.77
Tura,92,99.0,25.52,90.21,74.72,3.18
Shingu,40,74.0,33.72,135.99,84.2,3.36
Iqaluit,40,61.0,63.75,-68.52,48.2,25.28
Hohhot,0,94.0,40.81,111.65,68.0,4.47
